Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
106,SAMEA2661243,Copadichromis likomae,Mzebra_UMD2a,ERR702304,6.339464027,48559547,52858,43604,1092323,1009892,0.7.17,4.2.6.1,0.15.3,12260559982,PRJEB1254,216451,1073698,PRJEB1254/ERR702304.unmapped_marked_adapters.bam,Placidochromis subocularis,Shallow_Benthic
107,SAMEA4033332,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1805666,33.16983385,210328656,585398,508494,7191880,12649065,0.7.17,4.2.6.0,0.15.3,24184415117,PRJEB15289,1998035,16308948,PRJEB15289/ERR1805666.unmapped_marked_adapters.bam,Astatotilapia tweddlei,Riverine
108,SAMEA2661441,Copadichromis likomae,Mzebra_UMD2a,ERR702277,7.564246326,57941235,73836,55074,1532849,1268776,0.7.17,4.2.6.1,0.15.3,5002907104,PRJEB1254,236188,1174692,PRJEB1254/ERR702277.unmapped_marked_adapters.bam,Astatotilapia 'Itamba yellow',Riverine
109,SAMEA2661442,Copadichromis likomae,Mzebra_UMD2a,ERR702278,6.486423992,49685243,52376,44822,1213682,947020,0.7.17,4.2.6.1,0.15.3,4413198012,PRJEB1254,323742,1021318,PRJEB1254/ERR702278.unmapped_marked_adapters.bam,Astatotilapia 'Itamba yellow',Riverine
110,SAMEA4032038,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749406,29.9084896,189648596,197274,234888,2259991,3672635,0.7.17,4.2.6.0,0.15.3,20069681029,PRJEB15289,1239152,5384160,PRJEB15289/ERR1749406.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna
111,SAMEA2661281,Copadichromis likomae,Mzebra_UMD2a,ERR715480,5.741199205,43976909,47198,45188,851914,888423,0.7.17,4.2.6.1,0.15.3,3757175029,PRJEB1254,215856,1125520,PRJEB1254/ERR715480.unmapped_marked_adapters.bam,Placidochromis longimanus,Shallow_Benthic
112,SAMEA2661272,Copadichromis likomae,Mzebra_UMD2a,ERR715519,15.42215161,118131863,93680,90794,1887914,1696323,0.7.17,4.2.6.1,0.15.3,9610036712,PRJEB1254,438537,2229464,PRJEB1254/ERR715519.unmapped_marked_adapters.bam,Tropheops tropheops (=orange chest),Mbuna
113,SAMEA4051559,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1743782,31.09173892,197151535,299484,312490,3100758,5725866,0.7.17,4.2.6.0,0.15.3,20245735044,PRJEB15289,1098293,7719970,PRJEB15289/ERR1743782.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
114,SAMEA1904330,Copadichromis likomae,Mzebra_UMD2a,"ERR299205,,ERR299214,,ERR295131",15.04826411,144084911,140058,113638,2228636,1889778,0.7.17,4.2.6.1,0.15.3,19103963785,PRJEB1254,825855,3792416,PRJEB1254/ERR299205.unmapped_marked_adapters.bam,Lethrinops sp. oliveri,Deep_Benthic
115,SAMEA4033276,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749500,33.98388746,215490539,356236,364970,3457062,6542174,0.7.17,4.2.6.0,0.15.3,21813579781,PRJEB15289,1097628,9163830,PRJEB15289/ERR1749500.unmapped_marked_adapters.bam,Rhamphochromis longiceps,Rhampochromis
